업소명,별점,리뷰수,좋아요수,소재지지번
콴안다오,4.4,31,98,서울특별시 강남구 신사동 516-2
뱃고동 본점,4.2,20,199,서울시 강남구 신사동 663
오리지널 팬케이크 하우스 가로수길점,4.1,18,179,서울특별시 강남구 신사동 523-20
압구정공주떡,4.5,14,57,서울시 강남구 신사동 569-31
압구정공주떡,4.5,14,57,서울시 강남구 신사동 569-31
세컨디포레스트 가로수길점,4.6,10,15,서울특별시 강남구 신사동 521-22 1동 나라빌딩
달마시안,4.6,7,8,서울특별시 강남구 신사동 634-17
장다리,4.5,5,10,서울특별시 강남구 신사동 642-14
김북순 큰남비집 본점,4.3,9,54,서울시 강남구 신사동 522
그랑씨엘 신사점,4.4,6,50,서울시 강남구 신사동 650-22
패티앤베지스,4.1,11,55,서울 강남구 신사동 525-2
압구정곱창,4.4,7,42,서울특별시 강남구 신사동 643-21
고급오복수산,4.4,7,7,서울시 강남구 신사동 603 안다즈호텔 지하1층
은행골 신사점,4.1,26,128,서울특별시 강남구 신사동 537-2 2층
구스테이크,4.5,4,90,서울시 강남구 신사동 528-3
소이연남 마오,5.0,3,13,서울시 강남구 신사동 665-9
산동교자관,4.6,4,114,서울특별시 강남구 신사동 615
신사랑,4.3,8,10,서울특별시 강남구 신사동 519-1
벙커컴퍼니 압구정점,4.0,4,5,"서울 강남구 신사동 607-20 단독주택 1, 2층"
가담,3.8,9,28,서울특별시 강남구 신사동 608-8
일일향 1호점,3.9,12,234,서울특별시 강남구 신사동 601-3 동우빌딩 1층
비파티세리,4.1,9,19,서울특별시 강남구 신사동 546-17
삼창교자,3.9,12,11,서울시 강남구 신사동 517-34 1층
청담 돈,4.4,13,12,서울시 강남구 신사동 648-13 2층
갓덴스시,4.5,5,16,서울특별시 강남구 신사동 537
창화당 신사점,4.2,11,19,서울특별시 강남구 신사동 511-19
미라이,4.6,5,23,서울특별시 강남구 신사동 557-25
온기정,4.2,19,23,서울특별시 강남구 신사동 525-15 1층
백곰막걸리,4.0,6,76,서울특별시 강남구 신사동 657-7
강서면옥 압구정점,3.8,13,67,서울시 강남구 신사동 645-30
꿍탈레,4.4,8,22,서울특별시 강남구 신사동 531-1
뻐꾸기,4.3,4,57,서울시 강남구 신사동 561-17
노이에 아트멍,4.8,5,5,서울특별시 강남구 신사동 559-9
피터 폴 앤 메리,5.0,1,25,서울시 강남구 신사동 576-3
금수복국,4.4,7,31,서울특별시 강남구 신사동 627-13
마사타코,4.3,4,9,서울특별시 강남구 신사동 524-29
펄쉘 프리미에,5.0,2,11,서울시 강남구 신사동 645-28 지하1층
도쿄등심 압구정점,4.6,13,28,서울특별시 강남구 신사동 651-19 스타크빌딩 3층
인딕슬로우,4.6,6,11,서울특별시 강남구 신사동 525-4
대한곱창 신사점,4.3,8,3,서울시 강남구 신사동 515-10
까사밀,4.8,3,4,서울시 강남구 신사동 527-2
딩딤1968,3.9,12,38,서울특별시 강남구 신사동 521-10
