업소명,별점,리뷰수,좋아요수,소재지지번
다운타우너 청담점,4.5,66,255,서울특별시 강남구 신사동 666-25
카츠 바이 콘반,4.9,21,99,서울특별시 강남구 신사동 647-22
쮸즈,4.1,67,697,서울특별시 강남구 신사동 540-4
압구정 하루,4.2,32,135,서울시 강남구 신사동 663-9
미미면가 2호점,3.9,72,463,서울시 강남구 신사동 512-21 지하1층
클랩피자,4.6,26,35,서울시 강남구 신사동 648-24
아우어베이커리 가로수길점,4.5,27,76,서울특별시 강남구 신사동 523-19
뱃고동 본점,4.2,20,199,서울시 강남구 신사동 663
잭슨피자 압구정점,4.6,13,11,서울시 강남구 신사동 574 107호
카페 노티드 청담,4.1,98,133,서울특별시 강남구 신사동 654-9
대막,4.4,23,63,서울특별시 강남구 신사동 648-19
네기 다이닝라운지,4.5,6,363,서울특별시 강남구 신사동 540-19
칙피스,4.2,22,78,서울특별시 강남구 신사동 540-18
에뚜왈,4.7,13,22,서울특별시 강남구 신사동 534-8 지하1층
아우어베이커리 도산본점,4.1,28,219,서울특별시 강남구 신사동 648-15
텔러스 9.5,4.7,8,21,서울특별시 강남구 신사동 561-19
이치에,4.7,7,388,서울특별시 강남구 신사동 656-7 2층
세시셀라 도산공원점,4.3,19,83,서울시 강남구 신사동 651-4 삼경빌딩 1층
목포집,4.0,42,563,서울특별시 강남구 신사동 514-3
도수향,4.6,6,46,서울특별시 강남구 신사동 662-7
쇼토,4.5,6,11,서울특별시 강남구 신사동 550-14 1층
파씨오네,4.3,11,124,서울특별시 강남구 신사동 646-23 2층
우와,4.2,20,84,서울특별시 강남구 신사동 508-8
치즈룸,4.3,14,9,서울특별시 강남구 신사동 603 안다즈호텔 지하 1층 112호
우유니아이스크림,4.4,12,53,서울특별시 강남구 신사동 529-6
달마시안,4.6,7,8,서울특별시 강남구 신사동 634-17
겟썸커피,4.4,14,252,서울특별시 강남구 신사동 551-32
펠트 도산공원점,5.0,8,14,서울특별시 강남구 신사동 645-21
타르틴 베이커리 도산점,4.3,17,19,서울특별시 강남구 신사동 645-18
리북집 신사점,4.1,11,125,서울특별시 강남구 신사동 537-10
한추,3.8,33,496,서울특별시 강남구 신사동 549-9
솔솥 청담점,4.6,4,12,서울특별시 강남구 신사동 666-27
테일러커피 신사점,4.4,14,8,서울시 강남구 신사동 521-17
김북순 큰남비집 본점,4.3,9,54,서울시 강남구 신사동 522
묵전,4.0,19,130,서울시 강남구 신사동 645-11
호호식당 도산공원점,4.5,7,13,서울시 강남구 신사동 647-16
압구정곱창,4.4,7,42,서울특별시 강남구 신사동 643-21
핫쵸,4.5,9,9,서울특별시 강남구 신사동 544-5
벽돌해피푸드 압구정점,4.4,8,21,서울특별시 강남구 신사동 655
누데이크 하우스 도산,4.3,8,9,서울특별시 강남구 신사동 649-8 지하1층
오복수산 도산,4.1,15,25,서울특별시 강남구 신사동 666-25 2층
C27 가로수길점,3.8,37,670,서울특별시 강남구 신사동 545-12
