업소명,별점,리뷰수,좋아요수,소재지지번
브루클린더버거조인트 가로수길점,4.4,70,857,서울특별시 강남구 신사동 540-11
a.ga gelato,4.7,9,7,서울 강남구 신사동 564-3
강남면옥 본점,4.1,9,62,서울시 강남구 신사동 588-9
송쉐프,3.9,11,72,서울특별시 강남구 신사동 507-11
선데이 버거 클럽,3.8,10,15,서울특별시 강남구 신사동 642-8
색깔,5.0,1,3,서울특별시 강남구 신사동 645-1
왕자장어,4.7,2,75,서울특별시 강남구 신사동 646-16
안동국시,4.2,3,7,서울시 강남구 신사동 612-2
서강쇠떡볶이,3.8,12,17,서울특별시 강남구 신사동 658-1
길버트버거 가로수길점,3.7,14,194,서울특별시 강남구 신사동 545-3
포스터리 베이커,4.5,2,3,서울특별시 강남구 신사동 643-4
웻커피 가로수길점,4.6,5,6,서울특별시 강남구 신사동 507-3 1층
하나우동,4.1,8,20,서울시 강남구 신사동 578-5
TWG 압구정점,3.9,6,3,서울특별시 강남구 신사동 603
소적두 압구정동점,5.0,2,7,서울시 강남구 신사동 660-18
랜디스도넛 가로수길점,4.0,7,6,서울특별시 강남구 신사동 540-9
리김밥 압구정본점,3.6,8,98,서울특별시 강남구 신사동 610
배스킨라빈스 BROWN청담점,4.0,12,3,서울특별시 강남구 신사동 652-16
삼원가든,4.1,6,8,서울특별시 강남구 신사동 623-5
스시코마츠,3.5,3,133,서울특별시 강남구 신사동 624-19
어퍼웨스트,3.7,4,12,서울특별시 강남구 신사동 542-4 1층
화빙장,4.4,2,6,서울특별시 강남구 신사동 660-10
카베하네,4.4,2,4,서울특별시 강남구 신사동 619-2
커피빈 압구정역점,4.0,2,1,서울시 강남구 신사동 599 압구정빌딩
류니끄,5.0,2,67,서울특별시 강남구 신사동 651-3
오복수산시장,3.7,4,11,서울특별시 강남구 신사동 642-27 2층
오르비에토,4.7,3,6,서울특별시 강남구 신사동 559-30
텍사스데브라질 압구정점,3.9,4,4,서울시 강남구 신사동 603 안다즈호텔 지하1층
바랗,3.6,5,49,서울특별시 강남구 신사동 630-23
규반,4.0,1,5,서울특별시 강남구 신사동 647-24 2층
아뜰리에,5.0,1,1,서울특별시 강남구 신사동 524-20
보물선,4.0,6,16,서울특별시 강남구 신사동 514-1
피쉬스토리,4.4,2,17,서울특별시 강남구 신사동 661-18
애니오케이션 청담,4.4,4,5,서울특별시 강남구 신사동 563-18
끌림 이탈리아,5.0,2,2,서울특별시 강남구 신사동 615-1
중앙손칼국수콩국수 압구정역점,4.0,1,2,서울특별시 강남구 신사동 657-16
열봉이 압구정로데오점,4.0,1,1,서울특별시 강남구 신사동 646-8 2층
여미,4.0,2,2,서울특별시 강남구 신사동 598-6
카페다이아만티노,5.0,1,15,서울특별시 강남구 신사동 572-2
청담미역,3.5,5,5,서울특별시 강남구 신사동 660-16
압구정 진주,4.0,1,1,서울특별시 강남구 신사동 581-8
써브웨이,3.6,2,13,서울특별시 강남구 신사동 579
역전우동0410 압구정역점,4.1,3,14,서울특별시 강남구 신사동 510-3
낭만옵빠,4.8,2,7,서울특별시 강남구 신사동 657
신전떡볶이 신사점,4.1,3,18,서울 강남구 신사동 511-4 정금빌딩
더팔당 본점,3.5,2,1,서울특별시 강남구 신사동 620-1 메디컬뱅크빌딩 103호
동인동,3.0,2,2,서울특별시 강남구 신사동 630-21
매스커피 압구정점,5.0,1,1,서울특별시 강남구 신사동 559-21
머스크,5.0,1,19,서울시 강남구 신사동 545-6
야카모즈로스팅,5.0,1,1,서울 강남구 신사동 506
고디바 신사점,3.5,3,17,서울특별시 강남구 신사동 648-1
복자네,4.1,2,6,서울특별시 강남구 신사동 620
스타벅스 신압구정점,4.5,2,3,서울특별시 강남구 신사동 613-15
맨메이드 카페,3.5,2,3,서울특별시 강남구 신사동 653-9
공드림,4.0,2,6,서울특별시 강남구 신사동 512-12
미음죽,5.0,1,8,서울시 강남구 신사동 561-11
어물전 청,4.0,1,34,서울특별시 강남구 신사동 508
수수식탁,5.0,1,7,서울시 강남구 신사동 616-5
김작가의이중생활,3.5,2,23,서울특별시 강남구 신사동 658-1 2층
갈비다움 압구정점,4.0,1,1,서울특별시 강남구 신사동 578-1
가온,3.4,2,17,서울특별시 강남구 신사동 553-10
삼백집,2.4,5,54,서울특별시 강남구 신사동 650-17
청자매운소돼지갈비찜,4.3,2,1,서울시 강남구 신사동 593-24
산호,5.0,1,1,서울 강남구 신사동 661-18 정동상가 102호
동천홍 본점,3.5,3,12,서울시 강남구 신사동 525-10
와인주막차차 압구정점,3.6,2,1,서울특별시 강남구 신사동 589-19
압구정김치찌개,1.0,4,18,서울특별시 강남구 신사동 655-4 2층
오늘잡은 안동갈비,4.0,2,2,서울시 강남구 신사동 622-3
마이 쏭,3.3,3,,
제프리 도산압구정,2.6,2,,
지유가오카 핫초메 압구정로데오점,5.0,1,,
개미집,3.7,3,,
채운,0.0,1,,
우수미 회센타,4.0,1,,
김가네 로데오점,,,,
갓포치유,,,,
그린테이블,,,,
이즈미,,,,
